keys,en,pt_BR,es,zh_CN,ja
GAD_MainTitleGDS,"AdMob Plugin (GDScript)","Plugin AdMob (GDScript)","Plugin AdMob (GDScript)","AdMob 插件 (GDScript)","AdMob プラグイン (GDScript)"
GAD_MainTitleCS,"AdMob Plugin (C#)","Plugin AdMob (C#)","Plugin AdMob (C#)","AdMob 插件 (C#)","AdMob プラグイン (C#)"
GAD_SupportProject,"S U P P O R T   T H E   P R O J E C T","A P O I E   O   P R O J E T O","A P O Y A   E L   P R O Y E C T O","支   持   本   项   目","プ  ロ  ジ  ェ  ク  ト  を  支  援  す  る"
GAD_BannerAd,"Banner","Banner","Banner","横幅","バナー"
GAD_NativeAd,"Native","Nativo","Nativo","原生","ネイティブ"
GAD_AppOpenAd,"App Open","App Open","App Open","开屏","アプリ起動時"
GAD_InterstitialAd,"Interstitial","Intersticial","Intersticial","插屏","インタースティシャル"
GAD_RewardedAd,"Rewarded","Premiado","Recompensado","激励","リワード"
GAD_RewardedInterstitialAd,"Rewarded Interstitial","Intersticial Premiado","Intersticial Recompensado","激励插屏","リワードインタースティシャル"
GAD_UserMessagingPlatform,"UMP","UMP","UMP","UMP","UMP"
GAD_MobileAds,"Mobile Ads","Anúncios Móveis","Anuncios Móviles","移动广告","モバイル広告"
GAD_Load,"Load","Carregar","Cargar","加载","ロード"
GAD_LoadBackground,"Load Background","Carregar Segundo Plano","Cargar en Segundo Plano","后台加载","バックグラウンドでロード"
GAD_Show,"Show","Mostrar","Mostrar","显示","表示"
GAD_Hide,"Hide","Esconder","Ocultar","隐藏","非表示"
GAD_GetSize,"Get Size","Obter Tamanho","Obtener Tamaño","获取尺寸","サイズを取得"
GAD_Destroy,"Destroy","Destruir","Destruir","销毁","破棄"
GAD_Update,"Update","Atualizar","Actualizar","更新","更新"
GAD_LogsStart,"--- LOGS START ---","--- INÍCIO DOS LOGS ---","--- INICIO DE REGISTROS ---","--- 日志开始 ---","--- ログ開始 ---"
GAD_Collapsible,"Collapsible","Recolhível","Contraíble","可折叠","折りたたみ可能"
GAD_Video,"Video","Vídeo","Video","视频","動画"
GAD_VideoBracket," (video)"," (vídeo)"," (video)"," (视频)"," (動画)"
GAD_CustomPosition,"CUSTOM POSITION (XY)","POSIÇÃO CUSTOMIZADA (XY)","POSICIÓN PERSONALIZADA (XY)","自定义位置 (XY)","カスタム位置 (XY)"
GAD_AdSize,"AD SIZE","TAMANHO DO ANÚNCIO","TAMAÑO DEL ANUNCIO","广告尺寸","広告サイズ"
GAD_PresetPositions,"PRESET POSITIONS","POSIÇÕES PRÉ-DEFINIDAS","POSICIONES PREESTABLECIDAS","预设位置","プリセット位置"
GAD_GetInitializationStatus,"Get Initialization Status","Obter Status de Inicialização","Obtener Estado de Inicialización","获取初始化状态","初期化ステータスを取得"
GAD_SetiOSAppPauseOnBackground,"Set iOS App Pause On Background","Pausar App iOS em Segundo Plano","Pausar App iOS en Segundo Plano","设置 iOS 应用在后台暂停","iOS アプリのバックグラウンド一時停止を設定"
GAD_MuteMusic,"Mute Music","Silenciar Música","Silenciar Música","静音音乐","音楽をミュート"
GAD_AdVolume,"Ad Volume","Volume do Anúncio","Volumen del Anuncio","广告音量","広告の音量"
GAD_MuteAds,"Mute Ads","Silenciar Anúncios","Silenciar Anuncios","静音广告","広告をミュート"
GAD_OpenAdInspector,"Open Ad Inspector","Abrir Inspetor de Anúncios","Abrir Inspector de Anuncios","打开广告检查器","広告インスペクターを開く"
GAD_GetConsentStatus,"Get Consent Status","Obter Status de Consentimento","Obtener Estado de Consentimiento","获取同意状态","同意ステータスを取得"
GAD_ResetConsentInformation,"Reset Consent Information","Redefinir Informações de Consentimento","Restablecer Información de Consentimiento","重置同意信息","同意情報をリセット"
GAD_ShowPrivacyOptionsForm,"Show Privacy Options Form","Mostrar Formulário de Opções de Privacidade","Mostrar Formulario de Opciones de Privacidad","显示隐私选项表单","プライバシーオプションフォームを表示"
GAD_BannerControls,"BANNER CONTROLS","CONTROLES DE BANNER","CONTROLES DE BANNER","横幅广告控制","バナーコントロール"
GAD_InterstitialControls,"INTERSTITIAL CONTROLS","CONTROLES DE INTERSTITIAL","CONTROLES DE INTERSTICIAL","插屏广告控制","インタースティシャルコントロール"
GAD_RewardedControls,"REWARDED CONTROLS","CONTROLES DE REWARDED","CONTROLES DE RECOMPENSADO","激励广告控制","リワードコントロール"
GAD_RewardedInterstitialControls,"REWARDED INTERSTITIAL CONTROLS","CONTROLES DE REWARDED INTERSTITIAL","CONTROLES DE INTERSTICIAL RECOMPENSADO","激励插屏广告控制","リワードインタースティシャルコントロール"
GAD_NativeControls,"NATIVE CONTROLS","CONTROLES DE NATIVE","CONTROLES DE NATIVO","原生广告控制","ネイティブコントロール"
GAD_AppOpenControls,"APP OPEN CONTROLS","CONTROLES DE APP OPEN","CONTROLES DE APP OPEN","开屏广告控制","アプリ起動時コントロール"
GAD_AnchoredAdaptive,"Anchored Adaptive","Adaptativo Ancorado","Adaptativo Anclado","锚定自适应","アンカー付きアダプティブ"
GAD_SmartBanner,"SMART BANNER","BANNER INTELIGENTE","BANNER INTELIGENTE","智能横幅","スマートバナー"
GAD_Custom,"CUSTOM","CUSTOMIZADO","PERSONALIZADO","自定义","カスタム"
GAD_MainInitialized,"Main initialized","Main inicializado","Main inicializado","Main 已初始化","Main が初期化されました"
GAD_MobileAdsInitComplete,"MobileAds initialization complete","Inicialização do MobileAds concluída","Inicialización de MobileAds completada","MobileAds 初始化完成","MobileAds の初期化が完了しました"
GAD_TopLeft,"Top Left","Superior Esquerda","Superior Izquierda","左上角","左上"
GAD_Top,"Top","Superior","Superior","顶部","上"
GAD_TopRight,"Top Right","Superior Direita","Superior Derecha","右上角","右上"
GAD_Left,"Left","Esquerda","Izquierda","左侧","左"
GAD_Center,"Center","Centro","Centro","居中","中央"
GAD_Right,"Right","Direita","Derecha","右侧","右"
GAD_BottomLeft,"Bottom Left","Inferior Esquerda","Inferior Izquierda","左下角","左下"
GAD_Bottom,"Bottom","Inferior","Inferior","底部","下"
GAD_BottomRight,"Bottom Right","Inferior Direita","Inferior Derecha","右下角","右下"
GAD_NativeOverlayControls,"NATIVE OVERLAY CONTROLS","CONTROLES DE SOBREPOSIÇÃO NATIVA","CONTROLES DE SUPERPOSICIÓN NATIVA","原生覆盖控制","ネイティブオーバーレイコントロール"
GAD_TemplateStyle,"TEMPLATE STYLE","ESTILO DO MODELO","ESTILO DE PLANTILLA","模板样式","テンプレートスタイル"
GAD_Template,"Template:","Modelo:","Plantilla:","模板：","テンプレート:"
GAD_ColorCustomization,"COLOR CUSTOMIZATION","CUSTOMIZAÇÃO DE CORES","PERSONALIZACIÓN DE COLORES","颜色自定义","色のカスタマイズ"
GAD_Background,"Background:","Fundo:","Fondo:","背景：","背景:"
GAD_ButtonBG,"Button BG:","BG do Botão:","Fondo del Botón:","按钮背景：","ボタンの背景:"
GAD_ButtonText,"Button Text:","Texto do Botão:","Texto del Botón:","按钮文本：","ボタンのテキスト:"
GAD_Small,"Small","Pequeno","Pequeño","小","小"
GAD_Medium,"Medium","Médio","Medio","中","中"
GAD_DefaultNone,"Default (None)","Padrão (Nenhum)","Por defecto (Ninguno)","默认（无）","デフォルト (なし)"
GAD_SizeBanner,"BANNER (320x50)","BANNER (320x50)","BANNER (320x50)","BANNER (320x50)","BANNER (320x50)"
GAD_SizeFullBanner,"FULL_BANNER (468x60)","BANNER COMPLETO (468x60)","BANNER COMPLETO (468x60)","FULL_BANNER (468x60)","FULL_BANNER (468x60)"
GAD_SizeLargeBanner,"LARGE_BANNER (320x100)","BANNER GRANDE (320x100)","BANNER GRANDE (320x100)","LARGE_BANNER (320x100)","LARGE_BANNER (320x100)"
GAD_SizeLeaderboard,"LEADERBOARD (728x90)","TABELA DE CLASSIFICAÇÃO (728x90)","TABLA DE CLASIFICACIÓN (728x90)","LEADERBOARD (728x90)","LEADERBOARD (728x90)"
GAD_SizeMediumRectangle,"MEDIUM_RECTANGLE (300x250)","RETÂNGULO MÉDIO (300x250)","RECTÁNGULO MEDIO (300x250)","MEDIUM_RECTANGLE (300x250)","MEDIUM_RECTANGLE (300x250)"
GAD_SizeWideSkyscraper,"WIDE_SKYSCRAPER (160x600)","ARRANHA-CÉU LARGO (160x600)","RASCACIELOS ANCHO (160x600)","WIDE_SKYSCRAPER (160x600)","WIDE_SKYSCRAPER (160x600)"
GAD_InBackground," in background"," em segundo plano"," en segundo plano"," 在后台"," バックグラウンド"
GAD_CollapsibleBracket," (collapsible)"," (recolhível)"," (contraíble)"," (可折叠)"," (折りたたみ可能)"
GAD_None,"None","Nenhum","Ninguno","无","なし"
GAD_LogSuccessCollapsible,"Success: Collapsible banner loaded.","Sucesso: Banner recolhível carregado.","Éxito: Banner contraíble cargado.","成功：已加载可折叠横幅。","成功: 折りたたみ可能バナーがロードされました。"
GAD_LogAdLoadedNotCollapsible,"Ad loaded successfully. Collapsible: false","Anúncio carregado com sucesso. Recolhível: falso","Anuncio cargado con éxito. Contraíble: falso","广告加载成功。可折叠：false","広告が正常にロードされました。折りたたみ可能: false"
GAD_LogAdClicked,"Ad clicked","Anúncio clicado","Anuncio clicado","广告被点击","広告がクリックされました"
GAD_LogAdClosed,"Ad closed (destroyed)","Anúncio fechado (destruído)","Anuncio cerrado (destruido)","广告已关闭（销毁）","広告が閉じられました（破棄）"
GAD_LogAdClosedCallback,"Ad closed callback triggered","Callback de fechado do anúncio acionado","Callback de cierre del anuncio activado","触发了广告关闭回调","広告を閉じるコールバックがトリガーされました"
GAD_LogAdClosedHeight,"Ad closed height: {0}","Altura do anúncio fechado: {0}","Altura del anuncio cerrado: {0}","关闭广告高度：{0}","閉じた広告の高さ: {0}"
GAD_LogAdDestroyed,"Ad destroyed","Anúncio destruído","Anuncio destruido","广告已销毁","広告が破棄されました"
GAD_LogAdDismissed,"Ad dismissed","Anúncio descartado","Anuncio descartado","广告已关闭","広告が閉じられました"
GAD_LogAdExpired,"Ad expired (more than 4 hours). Destroying and please load again.","Anúncio expirado (mais de 4 horas). Destruindo e por favor carregue novamente.","Anuncio expirado (más de 4 horas). Destruyendo, por favor cargue de nuevo.","广告已过期（超过 4 小时）。正在销毁，请重新加载。","広告の期限が切れました（4時間以上）。破棄しています、再ロードしてください。"
GAD_LogAdImpression,"Ad impression recorded","Impressão do anúncio registrada","Impresión del anuncio registrada","已记录广告展示","広告のインプレッションが記録されました"
GAD_LogAdLoadedSuccess,"Ad loaded successfully","Anúncio carregado com sucesso","Anuncio cargado con éxito","广告加载成功","広告が正常にロードされました"
GAD_LogAdLoadedSuccessWithUID,"Ad loaded successfully (UID: {0})","Anúncio carregado com sucesso (UID: {0})","Anuncio cargado con éxito (UID: {0})","广告加载成功 (UID: {0})","広告が正常にロードされました (UID: {0})"
GAD_LogAdOpened,"Ad opened","Anúncio aberto","Anuncio abierto","广告已打开","広告が開かれました"
GAD_LogAdPaid,"Ad paid: {0} {1} (precision: {2} source: {3})","Anúncio pago: {0} {1} (precisão: {2} fonte: {3})","Anuncio pagado: {0} {1} (precisión: {2} fuente: {3})","广告已支付：{0} {1} (精度: {2} 来源: {3})","広告の支払い: {0} {1} (精度: {2} ソース: {3})"
GAD_LogAdShowed,"Ad showed","Anúncio mostrado","Anuncio mostrado","广告已展示","広告が表示されました"
GAD_LogAdUnitId," - Ad Unit ID: {0}"," - ID da Unidade de Anúncio: {0}"," - ID de Unidad de Anuncio: {0}"," - 广告单元 ID：{0}"," - 広告ユニットID: {0}"
GAD_LogAdapter," - Adapter: {0}"," - Adaptador: {0}"," - Adaptador: {0}"," - 适配器：{0}"," - アダプター: {0}"
GAD_LogAdapterStatus,"[{0}] State: {1} | Latency: {2}ms | Desc: {3}","[{0}] Estado: {1} | Latência: {2}ms | Desc: {3}","[{0}] Estado: {1} | Latencia: {2}ms | Desc: {3}","[{0}] 状态: {1} | 延迟: {2}ms | 描述: {3}","[{0}] 状態: {1} | レイテンシ: {2}ms | 説明: {3}"
GAD_LogApplyingCustomPosition,"Applying custom position: ({0} {1})","Aplicando posição customizada: ({0} {1})","Aplicando posición personalizada: ({0} {1})","正在应用自定义位置：({0} {1})","カスタム位置を適用中: ({0} {1})"
GAD_LogBannerDestroyed,"Banner destroyed","Banner destruído","Banner destruido","横幅已销毁","バナーが破棄されました"
GAD_LogBannerHidden,"Banner hidden","Banner escondido","Banner oculto","横幅已隐藏","バナーが非表示になりました"
GAD_LogBannerShown,"Banner shown","Banner mostrado","Banner mostrado","横幅已展示","バナーが表示されました"
GAD_LogBannerSize,"W: {0} H: {1} | Pixels: {2}x{3}","L: {0} A: {1} | Pixels: {2}x{3}","A: {0} Al: {1} | Píxeles: {2}x{3}","宽: {0} 高: {1} | 像素: {2}x{3}","幅: {0} 高さ: {1} | ピクセル: {2}x{3}"
GAD_LogChangingLanguage,"Changing language to: {0}","Alterando idioma para: {0}","Cambiando idioma a: {0}","正在更改语言为：{0}","言語を変更中: {0}"
GAD_LogCollapsibleLoaded,"Success: Collapsible banner loaded.","Sucesso: Banner recolhível carregado.","Éxito: Banner contraíble cargado.","成功：已加载可折叠横幅。","成功: 折りたたみ可能バナーがロードされました。"
GAD_LogConsentFormAvailable,"Consent form available, loading...","Formulário de consentimento disponível, carregando...","Formulario de consentimiento disponible, cargando...","同意表单可用，正在加载...","同意フォームが利用可能です、ロード中..."
GAD_LogConsentFormNotAvailable,"Consent form not available at this time","Formulário de consentimento não disponível neste momento","Formulario de consentimiento no disponible en este momento","同意表单目前不可用","現在同意フォームは利用できません"
GAD_LogConsentInfoUpdated,"Consent info updated successfully","Informações de consentimento atualizadas com sucesso","Información de consentimiento actualizada con éxito","同意信息更新成功","同意情報が正常に更新されました"
GAD_LogConsentNotRequired,"Consent not required (Status: {0})","Consentimento não necessário (Status: {0})","Consentimiento no requerido (Estado: {0})","不需要同意 (状态: {0})","同意は不要です (ステータス: {0})"
GAD_LogConsentObtained,"Consent OBTAINED. You can now request ads.","Consentimento OBTIDO. Você agora pode solicitar anúncios.","Consentimiento OBTENIDO. Ahora puede solicitar anuncios.","已获得同意。您现在可以请求广告了。","同意を取得しました。これで広告をリクエストできます。"
GAD_LogConsentRequired,"Consent REQUIRED, showing form...","Consentimento NECESSÁRIO, mostrando formulário...","Consentimiento REQUERIDO, mostrando formulario...","需要同意，正在显示表单...","同意が必要です、フォームを表示中..."
GAD_LogFailedToLoad,"Failed to load: {0}","Falha ao carregar: {0}","Fallo al cargar: {0}","加载失败：{0}","ロードに失敗しました: {0}"
GAD_LogFailedToShow,"Failed to show: {0}","Falha ao mostrar: {0}","Fallo al mostrar: {0}","展示失败：{0}","表示に失敗しました: {0}"
GAD_LogFormDismissalError,"Form dismissal error: {0}","Erro ao descartar formulário: {0}","Error al descartar el formulario: {0}","关闭表单错误：{0}","フォームを閉じる際のエラー: {0}"
GAD_LogFormLoadFailure,"Form load failure: [{0}] {1}","Falha ao carregar formulário: [{0}] {1}","Fallo al cargar el formulario: [{0}] {1}","表单加载失败：[{0}] {1}","フォームのロードに失敗しました: [{0}] {1}"
GAD_LogFormLoadedSuccess,"Form loaded successfully","Formulário carregado com sucesso","Formulario cargado con éxito","表单加载成功","フォームが正常にロードされました"
GAD_LogLoadingAppOpen,"Loading app open ad...","Carregando anúncio de abertura de app...","Cargando anuncio de apertura de app...","正在加载开屏广告...","アプリ起動時広告をロード中..."
GAD_LogLoadingBanner,"Loading banner ({0}){1}{2}...","Carregando banner ({0}){1}{2}...","Cargando banner ({0}){1}{2}...","正在加载横幅广告 ({0}){1}{2}...","バナーをロード中 ({0}){1}{2}..."
GAD_LogLoadingInterstitial,"Loading interstitial...","Carregando interstitial...","Cargando intersticial...","正在加载插屏广告...","インタースティシャルをロード中..."
GAD_LogLoadingNative,"Loading native ad{0}...","Carregando anúncio nativo {0}...","Cargando anuncio nativo {0}...","正在加载原生广告{0}...","ネイティブ広告をロード中{0}..."
GAD_LogLoadingRewarded,"Loading rewarded ad...","Carregando anúncio premiado...","Cargando anuncio recompensado...","正在加载激励广告...","リワード広告をロード中..."
GAD_LogLoadingRewardedInterstitial,"Loading rewarded interstitial...","Carregando interstitial premiado...","Cargando intersticial recompensado...","正在加载激励插屏广告...","リワードインタースティシャルをロード中..."
GAD_LogMutingAds,"Muting ads: {0}","Silenciando anúncios: {0}","Silenciando anuncios: {0}","静音广告：{0}","広告をミュート中: {0}"
GAD_LogMutingMusic,"Muting music: {0}","Silenciando música: {0}","Silenciando música: {0}","静音音乐：{0}","音楽をミュート中: {0}"
GAD_LogNativeDestroyed,"Native destroyed","Nativo destruído","Nativo destruido","原生广告已销毁","ネイティブが破棄されました"
GAD_LogNativeHidden,"Native hidden","Nativo escondido","Nativo oculto","原生广告已隐藏","ネイティブが非表示になりました"
GAD_LogNativeShown,"Native shown","Nativo mostrado","Nativo mostrado","原生广告已展示","ネイティブが表示されました"
GAD_LogPositionUpdated,"Position updated","Posição atualizada","Posición actualizada","位置已更新","位置が更新されました"
GAD_LogPrivacyOptionsDismissed,"Privacy options form dismissed successfully","Formulário de opções de privacidade descartado com sucesso","Formulario de opciones de privacidad descartado con éxito","成功关闭隐私选项表单","プライバシーオプションフォームが正常に閉じられました"
GAD_LogPrivacyOptionsError,"Privacy options form dismissal error: {0}","Erro ao descartar formulário de opções de privacidade: {0}","Error al descartar el formulario de opciones de privacidad: {0}","关闭隐私选项表单时出错：{0}","プライバシーオプションフォームを閉じる際のエラー: {0}"
GAD_LogRequestingCollapsible,"Requesting collapsible banner ({0})","Solicitando banner recolhível ({0})","Solicitando banner contraíble ({0})","正在请求可折叠横幅 ({0})","折りたたみ可能バナーをリクエスト中 ({0})"
GAD_LogResettingConsent,"Resetting consent information...","Redefinindo informações de consentimento...","Restableciendo información de consentimiento...","正在重置同意信息...","同意情報をリセット中..."
GAD_LogResponseId," - Response ID: {0}"," - ID da Resposta: {0}"," - ID de la Respuesta: {0}"," - 响应 ID：{0}"," - レスポンスID: {0}"
GAD_LogRewardEarned,"Reward earned: {0} {1}","Recompensa ganha: {0} {1}","Recompensa ganada: {0} {1}","获得奖励：{0} {1}","リワードを獲得しました: {0} {1}"
GAD_LogSetAdVolume,"Setting ad volume: {0}","Definindo volume do anúncio: {0}","Definiendo volumen del anuncio: {0}","设置广告音量：{0}","広告の音量を設定中: {0}"
GAD_LogSetiOSAppPause,"Setting iOS App Pause on Background: {0}","Definindo Pausa do App iOS em Segundo Plano: {0}","Definiendo Pausa de la App de iOS en Segundo Plano: {0}","正在设置 iOS 应用在后台暂停：{0}","iOSアプリのバックグラウンド一時停止を設定中: {0}"
GAD_LogShowingAppOpen,"Showing app open ad...","Mostrando anúncio de abertura de app...","Mostrando anuncio de apertura de app...","正在展示开屏广告...","アプリ起動時広告を表示中..."
GAD_LogShowingInterstitial,"Showing interstitial ad...","Mostrando anúncio interstitial...","Mostrando anuncio intersticial...","正在展示插屏广告...","インタースティシャル広告を表示中..."
GAD_LogShowingPrivacyOptions,"Showing privacy options form...","Mostrando formulário de opções de privacidade...","Mostrando formulario de opciones de privacidad...","正在展示隐私选项表单...","プライバシーオプションフォームを表示中..."
GAD_LogShowingRewarded,"Showing rewarded ad...","Mostrando anúncio premiado...","Mostrando anuncio recompensado...","正在展示激励广告...","リワード広告を表示中..."
GAD_LogShowingRewardedInterstitial,"Showing rewarded interstitial ad...","Mostrando anúncio interstitial premiado...","Mostrando anuncio intersticial recompensado...","正在展示激励插屏广告...","リワードインタースティシャル広告を表示中..."
GAD_LogUpdateFailure,"Update failure: [{0}] {1}","Falha na atualização: [{0}] {1}","Fallo de actualización: [{0}] {1}","更新失败：[{0}] {1}","更新の失敗: [{0}] {1}"
GAD_LogUpdatingPosition,"Updating position to: {0}","Atualizando posição para: {0}","Actualizando posición a: {0}","正在更新位置到：{0}","位置を更新中: {0}"
